author,published_at,like_count,text,public
@punyaerick76,2026-02-28T19:22:36Z,0,Buset greget juga 👍👍,TRUE
@tokoberkah8899,2026-02-28T14:44:35Z,0,"cukup 1x, omon omon.gak layak untuk di  lanjut<a href=""UCkszU2WH9gy1mb0dV-11UJg/8P50XuS9Oo7h8wSqtIagBA""></a>",TRUE
@orangbolang6275,2026-02-28T14:01:09Z,0,MBG dijadikan sumber buat ngumpulin modal buat pemilu... Masuk akal juga😊,TRUE
@CapsaSusun-p2x,2026-02-28T11:46:39Z,0,Ini bukan kesalahan sistematik. Ini proyek korupsi jangka panjang yg sudah matang disiapkan sblm pilpres. Bahkan anak2 dijadikan bahan korupsi. Mau gmn lagi mereka tdk akan peduli. Legislatif Eksekutif Yudikatif kongkalikong. Rezim ini paling korup sejak 1945. Polisi TNI DPR Jaksa Hakim Pemda dan aparat nya semua korup,TRUE
@erics8095,2026-02-28T09:22:57Z,1,mbg proyek k0rupsi massal wowo &amp; anteq&quot;nya,TRUE
@Realitakehidupan72,2026-02-28T07:26:05Z,0,"iyalaaah sdh jelas itu siih, yang untung kelompok mereka, ini Bancakan pejabat ajaa",TRUE
@bayuyoko8270,2026-02-28T07:08:35Z,0,"Mereka punya rencana tp Allah punya kehendak,,, bisa jadi game over sebelum 2029 😂😂😂",TRUE
@RonnyInd,2026-02-28T06:22:24Z,0,Rezim wowo i gin berkuassa kembsli thn 2029 itu juga klo tdk dinepalkan,TRUE
@RonnyInd,2026-02-28T06:22:23Z,0,Rezim wowo i gin berkuassa kembsli thn 2029 itu juga klo tdk dinepalkan,TRUE
@Pantom.planetPantom,2026-02-28T06:20:17Z,0,ICW kurang analitic. Hal lumrah di negara demokrasi dalam pertarungan politik menghalalkan segala cara utk memenangkan kekuasaan. Apalagi utk mempertahankan kekuasaan. MBG adalah hal kecil utk meraih simpati pemerintah yg berkuasa dr massa.,TRUE
@AnyAny-c1k,2026-02-28T06:16:53Z,0,Makanya.haruspake.uang.engga.pernah.banyak.pekerja.tapi.kalow.uang.sedikitpekerja.banyak.penerima.coba.otaknya.pake.iman..danhukum.islam,TRUE
@hendryngrh,2026-02-28T03:19:06Z,0,GIMANA GES CARANYA INI PROGRAM BISA BERHENTI?,TRUE
@indranoerdiansyah9165,2026-02-28T02:23:09Z,0,"Partai,Yayasan,APH,tidak layak menjadi mitra MBG,tdk py keahlian,kemampuan serta pengalaman dlm bidang kuliner",TRUE
@kwkwwk4918,2026-02-28T01:18:12Z,0,Mantan koruptor di ksih penghargaan konoha wkwkwkwkw,TRUE
@imaharnapo-px7bs,2026-02-27T14:49:33Z,0,"TOLONG SELAMATKAN GURU DAN MURID DARI BUDAK MBG,,, METEKA DIBUAT PULANG HAM 4 SORE,,, MEREKA DIKORBANKAN,,,, UNTUK MULUSKAN MBG,,, KASIHAN MEREKA,,, SISWA-SISWI TAK MUNGKIN BISA BELAJAR SAMPE SORE,,,, ITU UNTUK MENGUNTUNGKAN MBG,, , SELAMATKAN GURUNYA DAN MURIDNYA, ,,,",TRUE
@RiyanLaksono,2026-02-27T14:31:40Z,0,Nepalkan siwowo jgn sampai 2029,TRUE
@hermansugandha614,2026-02-27T14:21:02Z,0,Sediiiiiih,TRUE
@Harsa13-woodlandrealm,2026-02-27T13:25:16Z,0,Langkah selanjutnya bagaimana kakak?,TRUE
@najwakhairina9357,2026-02-27T11:19:35Z,0,"Logika nya bodoh program tambahan mengikis dana pendidikan... Kalian pikir ini bener2 gratis atau memutilasi anggaran pendidikan yang seharusnya bisa buat infrastruktur sekolah, gaji guru honorer... Subsidi peralatan sekolah",TRUE
@kokomkomariah7707,2026-02-27T10:33:35Z,0,Makanan Beracun Gratis . Ini mah,TRUE
@SalehSaleh-r1k,2026-02-27T07:45:58Z,0,Org2 bodoh hanya terdiam... <br>Menunggu laknatullah buat mereka2 yg bergembira mengumpulkan harta..,TRUE
@panaharagate5725,2026-02-27T07:26:50Z,1,Teruskan bongkar kalian adalah pahlawan kebenaran. Terima Kasih!,TRUE
@iblesbosuok,2026-02-27T06:03:33Z,0,"Arah negara ditentukan KEINGINAN presiden tanpa pengkajian skala prioritas. Tanpa pengkajian dampak thd atmosfer negara. polisi sdh proklamasikan negara dlm negara. eksekutiv, legislativ maupun judikativ sdh sekongkol menindas rakyat jelata. rejim matagelap selalu mengkondisikan negara agar bisa royoman harta negara dg mulus. sdh saatnya me<br><b>MAKZULKAN PEMERINTAH</b><br>dg langkah awal<br><b>STOP BAYAR PAJAK</b><br>jangan lakukan pergerakan fisik apapun krn tentara sdh dipolusi. tentara yg terpolusi akan ikutan menindas rakyat jelata.",TRUE
@KokoAkbar69,2026-02-27T04:37:39Z,2,Prabowo cukup 1 periode,TRUE
@noorhadi6022,2026-02-27T02:22:46Z,0,"Kamus Bahasa Rakyat IQ 78 yang GOBLOK milih pemimpin karena Makanan Basi Gratis <br>Kesejahteraan rakyat = omon omon<br>Kesejahteraan pejabat = gemoy<br>Kritikan terhadap pemerintah = antek aseng",TRUE
@Mistartrg,2026-02-26T23:35:31Z,0,mudah mudahan bowo kliru 2030 indo bubar.....,TRUE
@janis354,2026-02-26T21:50:01Z,0,mbg sama seperti ikn.. proyek ambisius yang gak pakai otak,TRUE
@abadirohmad7246,2026-02-26T20:15:17Z,0,"MBG,Koprasi Merah Putih, Cetak Sawah.. itu gak boleh dibawasi, gak boleh di audit..Printahnya Jelas Kok",TRUE
@horasmatuaharahap4526,2026-02-26T17:42:36Z,0,Makanan berkedok gizi.honorer TDK diperhtikn.lbih srius.MBG VERSI NUMPUK HUTANG,TRUE
@didiekdompeng5735,2026-02-26T15:15:31Z,0,"klo MBG tidak di stop.jgn harap 2029 pak wowo bakal  di pilih rakyat.karena MBG saat ini banyak yg di korupsi dan amburadul.Ayo bapak ibu yg anaknya menerima MBG kita ikut <a href=""http://mengawasi.menu/"">mengawasi.menu</a> apa yg di dapat anak anak kita.klo tdk wajar dan tdk sesuai anggaran perporsinya kita fotto dan di viralkan.karena untuk anggaran MBG itu uang kita dari uang pajak.jgn sampai uang kita di pakai bancakan dgn kedok MBG.",TRUE
@SaveroEro-l2k,2026-02-26T14:53:56Z,0,"mereke pejabat aktif, dah sudah sistematis..",TRUE
@ristomala889,2026-02-26T14:50:32Z,0,kok tau?😂😂😂,TRUE
@SateAyam-k5v,2026-02-26T14:43:03Z,0,Wow😅,TRUE
@cakrajayadi4516,2026-02-26T13:32:31Z,0,ada indikasi mbg menjadi alat utk menghimpun dana yg nantinya bakal dipakai utk modal pemilu ( pileg/pilpres ),TRUE
@bagusjaya13,2026-02-26T12:12:27Z,0,biadab,TRUE
@rahadisalam1027,2026-02-26T11:20:12Z,1,Proyek basah MBG,TRUE
@amarabdulkhoir9343,2026-02-26T11:19:00Z,1,Saya yakin Prabowo ga akan menang di pilpres berikutnya.....,TRUE
@istaffie1293,2026-02-26T11:02:51Z,0,"MBJ ✅️✅️ 1 Dapur = 3000 paket, jika dapur ambil untung per paket  Rp.5.000, maka sehari untung Rp.15Jt, plus insentif Rp.6Jt ... wow sehari 1 dapur KORUPSI = Rp21 jt 👎 1 bulan dapur kaya raya 😂<br>✅️UANG PAJAK  RAKYAT MISKIN  MASUK KE SAKU PEMILIK DAPUR /ORANG KAYA 😂😂<br>✅️Anggaran Pendidikan dan Kesehatan untuk masyarakat miskin DIHAMBURKAN ke MBJ  👎<br>✅️✅️✅️ <a href=""http://www.youtube.com/results?search_query=%23korupsi"">#KORUPSI</a> APBN BERJAMAAH 🔥🔥🔥KERACUNAN BERJAMAAH 🤮 Muntah Bersama Gas👎",TRUE
@HeruObara-p2r,2026-02-26T10:48:18Z,0,BENAR SEKALI MALING BERGIZI GRATIS SAMA KOPERASI MERAH PUTIH ITU POLITIK 2029.,TRUE
@codeBewok,2026-02-26T09:24:34Z,0,Grombolan cari hidup dari negara,TRUE
@ronisugianto4416,2026-02-26T09:02:40Z,0,MALING BERKEDOK GIZI.,TRUE
@endangbudi6269,2026-02-26T06:11:25Z,0,MbG slt di covidkan,TRUE
@ZulianSetiadi,2026-02-26T05:26:59Z,0,"Mau menuju indo emas gimana kalau kyak gitu, yg ada indo cemas!,  Pemborosan anggaran/APBN negara yg sangat sangat merugikan negara! Nauzubillah ya allah semoga tuhan membongkar semua nya. Ternyata isinya org²....",TRUE
@AkhmadJunaidi-p4m,2026-02-26T04:57:43Z,1,"Betul,tp ingat yg sesuai tujuan politikx cm 10%,karena orang tua murid 98% sudah muak",TRUE
@mikedelima66,2026-02-26T02:33:45Z,0,"Bila masih mau kebagian kue MBG, pilihlah w0w0 di pilpres 2029",TRUE
@Toing73,2026-02-26T02:12:40Z,0,Ini rancangan orang&quot;otak kotor omongan nya kaya orang bener udah jd malah jd parah,TRUE
@raysatrian5686,2026-02-26T01:02:48Z,0,"Mbg bagus sebenar,nya cuman tatakelola.nya harus di benahi",TRUE
@layarhitam5034,2026-02-26T00:44:13Z,0,"Iya benar arahnya ke sana. Sistem peradilan, kesehatan, investasi, perdagangan yang sudah berdiri lama aja kacau, apalagi MBG yang baru, uekk si tukang joged naik karena bawa anak dewa.",TRUE
@rakibarliana4958,2026-02-25T14:12:38Z,0,"MBG... MALING BERKEDOK GIZI.<br>KORUPSI MASSAL GENG SOLO &amp; GENG PRABOWO.<br>Uang rakyat dihambur hamburkan, diboros boroskan untuk kepentingan REJIM PRABOWO-GIBRAN.",TRUE
@komanglucu-dn6ro,2026-02-25T13:36:10Z,0,ORBA JILID 2 IS BACK....,TRUE
@henryawe4850,2026-02-25T10:15:45Z,0,"2029 Mari Gabung dengan China, Rusia atau Korut. Jangan dilanjutkan Pemilu bodoh lagi. Makin pemilu makin hancur.",TRUE
@hermawansugiarto9190,2026-02-25T08:29:12Z,0,Mnrt keyakinan saya bisa jadi ajang korupsi gede2an,TRUE
@cuannd1501,2026-02-25T07:48:05Z,0,Tidak boleh kita diam kan masyarakat harus bergerak nepal kan presiden pikun ini.,TRUE
@lulukernaning8543,2026-02-25T07:38:42Z,0,Sebagai orang berakal sehat...sudah menduga bahwa Mbg adalah bentuk rayuan gombal pada masyarakat agar terpilih kenbali<br>Dan yg dapat proyek kan orang&quot; Gerindra<br>Jadi presiden kebijakannya gak jelas...,TRUE
@erika_putrii8,2026-02-25T05:21:12Z,0,Presiden Prabowo pikirin masa depan anak-anak Indonesia lewat program makan bergizi ini,TRUE
@Hidayat1958-xg2hj,2026-02-25T04:33:12Z,0,HIDUP KUAMPRET !!!,TRUE
@ibanz1505,2026-02-25T04:02:29Z,0,KPK hrs liat ini 🙈🙈,TRUE
@mypen69,2026-02-25T03:51:31Z,0,Konoha itu negeri perampok,TRUE
@RaidouKuzunoha-kingabaddon,2026-02-25T03:10:54Z,0,Jadi masih nunggu sampai 2029 😂,TRUE
@Rusdi-v5d,2026-02-25T02:57:05Z,0,"MBG,PPPK..keduanya adalah amunisi tuk Pilpres mendatang...",TRUE
@muhammadhanafi171,2026-02-24T22:34:52Z,0,Wowo lebih parah dari jkw,TRUE
@muhammadhanafi171,2026-02-24T22:33:24Z,0,"Betul , MBG itu untuk nyogok bukan u perbailan gizi",TRUE
@KangMie-p4d,2026-02-24T20:50:24Z,0,"Terus lestarikan budaya maling koruptor KKN d segala lini d negeri ini😂😂😂, ingat ndak usah takut selama hukum yg menjerakan masih sperti biasanya 😂😂😂",TRUE
@AbdulMalik-b9b,2026-02-24T15:50:27Z,0,"Tunggu aja azdab Allah,!! kok buta thd keadaan rakyat",TRUE
@samsungsamsung-3929,2026-02-24T14:56:44Z,0,"Semoga org dari pdip, tidak ikut ikutan.",TRUE
@mattfajar5430,2026-02-24T13:59:23Z,0,Asal Bapak Senang 😂😂😂<br>Mencerdaskan kehidupan Bangsa bukan mengenyangkan perut Bangsa.....katanya mau Indonesia emas ko gitu,TRUE
@sean_daily76,2026-02-24T13:42:15Z,0,Berlebihan sll dikaitkan kepentingan politik,TRUE
@SyamhariSyamhari-g1q,2026-02-24T13:19:47Z,0,"Pak Presiden Prabowo yang saya hormati.  Tolong pak,hentikan dulu program mbg ini..sebelum seluruh anak sekolah Indonesia, mengkritik bapak,..nanti bapak makin malu,saya prihatin saja sama program bapak...",TRUE
@bernandussombang1186,2026-02-24T13:07:46Z,0,Sy curiga program ini dibuat utk DIBANCAK...!!!,TRUE
@OnepieceLuffy-ew4yp,2026-02-24T12:18:19Z,1,Allah sudah menggagalkan nya berkali kali ..Tapi kalian malah memilih dia..5 tahun negara ini akan hancur ditangan Prabowo..100% Pasti terjadi,TRUE
@UNIVERSION8525,2026-02-24T11:22:02Z,0,Perlu ga sih ICW memaparkan di Youtube nya bagaimana dan dari siapa yg mensposori/mendanai operasionalisasi ICW?,TRUE
@dakwahbanyumas,2026-02-24T10:44:30Z,1,Ya Allah... Hidup kok dunia terus yang dicari oleh para pejabat dan penguasa. Tidak kah mereka memikirkan kehidupan kelak dengan mengikuti tutunanNya dalam mengatur negara,TRUE
@AndriS-o8d,2026-02-24T08:26:44Z,1,Rakyat Indonesia 2029 kalau masih pilih Orang2 jokowi maupun Orang2 prabowo betul kata prabowo 2030 Indonesia Hancur ataw Bubar !!!!,TRUE
@RonaldoWati-pz4ss,2026-02-24T06:57:36Z,0,"Pejabat Indonesia : emang gue pikirin kalian mau ngoceh sampai mulut berbusa sekalipun, yang penting perutku kenyang, hariku senang 😆😆😆😆😆😆",TRUE
@WongHalu-c3o1s,2026-02-24T06:50:51Z,0,"Klo di lihat2 ini seperti aji mumpung,mumpung jadi presiden kan yg kmrn2 nyalon gak jadi2 dan udah keluar modal byk rugi bandar,makanya skrg pengen balik modal,segala cara dipakai buat keruk duit.",TRUE
@imamsulistiyo4414,2026-02-24T05:56:44Z,0,Mbg. Mewujudkan janji kampanye.  Semoga selalu ada perbaikan.  Dgn evaluasi.,TRUE
@OmaKuntul,2026-02-24T05:14:49Z,0,"10.000 x 20 x 12.. kasih ke ortu setahun sekali.. beres,daripada mbg hanya menguntungkan beberapa pihak",TRUE
@OmaKuntul,2026-02-24T05:13:13Z,0,"mbg adalah program terburuk dari pemerintah ,makanan tidak enak,dan sering tidak sesuai harga.. mending urus noh orang2 terdalam di papua dan diseluruh indonesia",TRUE
@GosipPolitik167,2026-02-24T05:12:58Z,0,"Transparency issue dan corruption allegation itu dua layer berbeda. Tanpa mark-up atau fraud yang terverifikasi, tuduhan masih di ranah hipotesis.",TRUE
@DewanRakyat1,2026-02-24T04:50:30Z,0,"Dalam konstruksi hukum, correlation is not equal to violation. Kalau belum ada indikasi kerugian negara atau manipulasi anggaran, ya itu masih wacana.",TRUE
@DailynewsPolitik,2026-02-24T04:48:25Z,0,"Masalah yayasan terafiliasi itu bukannya malah bagus ya kalau mereka emang punya infrastruktur buat gerak cepet? Dari dulu juga yayasan kayak Kemala Bhayangkari atau ormas kan emang aktif di sosial. Kalau cuma liat dari &#39;siapa yang pegang&#39; ya bakal subjektif terus. Mending kasih data juga dong, berapa persen UMKM yang hidup gara-gara program ini. Jangan cuma cari celahnya aja",TRUE
@evadwitama0120,2026-02-24T04:46:47Z,0,"Sumber data 11rb keracunan itu dari mana ya? Valid gak? Jangan sampe program bagus buat gizi anak malah dijatuhin cuma gara-gara masalah teknis di lapangan yang lagi diperbaiki. Fokus ke solusinya dong, jangan cuma nyalahin orang-orang di balik layarnya",TRUE
@Evanews0120,2026-02-24T04:45:28Z,0,"Penasaran deh, itu data 11 ribu anak keracunan dapetnya dari mana ya? Resmi dari RS atau gimana? Soalnya di daerah gue aman-aman aja tuh, anak-anak malah seneng dapet makan gratis. Program baru wajar sih ada kendala teknis, tapi jangan sampai angka itu cuma buat framing negatif doang tanpa liat jutaan anak lain yang terbantu",TRUE
@JgintingManik-e8d,2026-02-24T02:23:49Z,1,"Program Prabowo MBG adalah program paling tidak masuk akal ,murid murid sekolah sudah disiapkan makanannya dari rumah yg bergizi...kalau biaya MBG disalurkan untuk beasiswa murid sangat membantu orang tua murid.",TRUE
@alpadli3908,2026-02-24T01:57:32Z,0,"Seperti yang saya pikirkan, MBG sebagai modal pilpres selanjutnya",TRUE
@gajah011,2026-02-24T01:25:15Z,0,Maling Berkedok Gizi,TRUE
@risanmoses6546,2026-02-24T01:11:04Z,1,MBG udah diprotes sana sini tapi tetap aja jalan....KKN nya kental banget,TRUE
@Ki_Ageng_Spirit,2026-02-24T00:10:23Z,0,"Ane dh DUGA saat MBG dipromosikan di debat Pilpres.<br><br>KMP(Koperasi Merah Putih) &amp; MBG adlh DUA PROG. finanSIAL bwt MOTOR POLITIK SIMON(SI oMON2) bwt 2029.<br><br>Percaya atau tdk.<br>Bkn hanya timses SIMON semata, tp Ijo, Coklat, senator pusat/daerah, poliTIKUS pusat/daerah itu terlibat dlm PUSARAN LEZATx MBG.<br><br>Yg RAKUS makin BERINGAS, yg MAMPU MAKIN KURAS TABUNGAN, yg MISKIN makin MERINGIS.",TRUE
@Nasution-o8q,2026-02-23T23:52:44Z,0,Bagi bagi proyek,TRUE
@JehezkielSababalat,2026-02-23T23:45:20Z,0,Memberi makan rakyat adalah strategi politik presiden prabowo untuk bungkam mulut rakyat agar tidak demo,TRUE
@josephsetiadi1756,2026-02-23T23:08:40Z,0,"tdk usah dipilih lg, bye bye bowo",TRUE
@erdinfatah8039,2026-02-23T20:42:44Z,0,Presiden OMON OMON,TRUE
@Hidayat-n3k,2026-02-23T17:12:13Z,0,Tolong lembaga transparansi internasional mengasih skor IPK indonesia 18 di tahun depan supaya dunia melihat betapa sistematiknya dan terang&quot;an korupsi di negeri ini.,TRUE
@ninapradani4565,2026-02-23T16:37:15Z,1,"Masuk akal, sih, kalau dibilang MBG itu proyek untuk menyiapkan Pilpres 2029. Hitung saja brp banyak pemilik dapur dan pekerja di dapur MBG yang akan berharap MBG jalan terus. Dan MBG akan terus berjalan jika pemerintahan ini berlanjut.",TRUE
@ahmadabuanwar,2026-02-23T15:44:37Z,0,Rasain lo milih wowo,TRUE
@DifaSalsabila-l3m,2026-02-23T13:34:28Z,0,ini yg dicari2 polik musuh probowo mbg turun kn wowo buat rusuh,TRUE
@DifaSalsabila-l3m,2026-02-23T13:32:40Z,0,biar kan lah probowo gak ada harapan lagi jd presiden tutup,TRUE
@DifaSalsabila-l3m,2026-02-23T13:31:23Z,0,Peresiden mau turun jadi mantan peresiden,TRUE
@dane_9391,2026-02-23T12:11:56Z,0,"Selain mbg, rakyat pun di adu domba isu agama",TRUE
@tjiptadisetyokusumo7964,2026-02-23T12:06:43Z,0,YA  NGGAK APA-APA..<br>               HIDUP INI<br>NAMANYA JUGA  KOMPETISI<br>MALAH HAN..SEJAK  MASIH  SPERMA  TOZOA YANG<br>    BEJUMLAH JUTAAN <br>      .   KITA SUDAH<br> BERKOMPETISI REBUTAN  SAMPAI DULUAN  DI INDUNG<br>                TELUR.<br>DAN KITA ADALAH  PARA     <br>               JUARA NYA<br>LHAKOK  TAKUT BERKOMPETISI<br>PALING  BANYAK  3 CAPRES. <br>        NORAK BANGET DEH <br>          POKOKNYA  KAMU<br>    JUARA  TAPI PENGECUT<br>                    PAYAH <br>OTAK  KOTOR NYALI PENDEK.,TRUE
@susantyAYFE,2026-02-23T11:18:13Z,1,"SEMISKIN ITU KALIAN SAMPE GA BISA NGASIH MAKAN SIANG KE ANAK KALIAN, SEKARANG KRN KENISKINAN KALIAN DIJADIKAN LAHAN KORUPSI SAMA SI GEMOY. KALO MISKIN KEBIRI PLIS",TRUE
@PETANIKONTEN-s1m,2026-02-23T09:56:34Z,0,"Perlukah Indonesia di buat kayak jepang dulu, di bom atom dulu biar musnah semua, baru di beri kehidupan baru, biar manusia picik dan serakah musnah semua, <br>😢😢😢😢",TRUE
@jonnihendrasilitonga,2026-02-23T09:03:06Z,1,Bagus lapangan kerja dibuka yg formal,TRUE
@rahardianandri4392,2026-02-23T04:06:10Z,0,Yang keracunan berapa ribu yang makan berapa juta tolong datanya ditulis lengkap,TRUE
@rahardianandri4392,2026-02-23T04:06:10Z,0,Yang keracunan berapa ribu yang makan berapa juta tolong datanya ditulis lengkap,TRUE
@GreatBagana_Official,2026-02-23T03:55:07Z,0,"Taruhan nya nyawa, kalo mau bikin sistem MBG hilang",TRUE
@sachrowardi7873,2026-02-23T03:45:38Z,0,"Betul utk kepentingan tahun 2029, karena MBG sama saja bagi2 sembako permanen, kalau era sebelumnya bagi2 sembako jelang pemilu.",TRUE
@Jalan-Lurus-n7u,2026-02-23T03:43:28Z,0,kORUPSI UANG RAKYAT BERJAMAAH,TRUE
@aldypratama6647,2026-02-23T03:04:30Z,0,MBG ITU IBARAT KORUPSI YG DILEGALKAN,TRUE
@dprototype,2026-02-23T02:08:57Z,0,Menyedihkan negara ini,TRUE
@shirokaminokageyami,2026-02-23T01:30:26Z,0,"Shummum bukmun ‘umyun fa hum lâ yarji‘ûn<br>(Mereka) tuli, bisu, lagi buta, sehingga mereka tidak dapat kembali.",TRUE
@supersonicid1981,2026-02-23T01:30:24Z,0,Hidup JOKOWI,TRUE
@dika.1717,2026-02-22T23:25:50Z,0,presiden prabowo itu penakut dan haus <br>haus pujian,TRUE
@chaguyanakintanboy2081,2026-02-22T23:21:27Z,0,Sampai kiamat tidak akan punah mafia2 iblis koruptor di Indonesia 🇮🇩,TRUE
@jualtanah4392,2026-02-22T23:19:38Z,0,Bantulah ICW,TRUE
@Pardjinem,2026-02-22T21:36:59Z,0,"Tandanya takut ga kepilih ni orang, waktu masih jauh udah kampanye, model apalagi nih, rakuslah mdlnya.",TRUE
